Portugues,English,Pronunciation
o,the,
e,and,
ter,have,
que,that,
para,for,
você,you,
com,with,
dizer,say,
esse,this,
eles,they,
mas,but,
dele,his,
de,from,
não,not,
ela,she,
como,as,
o que,what,
deles,their,
pode,can,
Quem,who,
pegar,get,
seria,would,
dela,her,
todos,all,
fazer,make,
sobre,about,
saber,know,
vai,will,
um,one,
tempo,time,
lá,there,
ano,year,
pensar,think,
quando,when,
qual,which,
eles,them,
alguns,some,
pessoas,people,
pegar,take,
fora,out,
em,into,
apenas,just,
ver,see,
ele,him,
seu,your,
vir,come,
poderia,could,
agora,now,
que,than,
como,like,
outro,other,
como,how,
então,then,
isso é,its,
nosso,our,
dois,two,
mais,more,
esses,these,
querer,want,
caminho,way,
olhar,look,
primeiro,first,
também,also,
novo,new,
porque,because,
dia,day,
usar,use,
homem,man,
encontrar,find,
aqui,here,
coisa,thing,
dar,give,
muitos,many,
bem,well,
apenas,only,
aqueles,those,
dizer,tell,
muito,very,
até,even,
voltar,back,
qualquer,any,
bom,good,
mulher,woman,
através,through,
vida,life,
criança,child,
trabalhar,work,
abaixo,down,
poderia,may,
depois,after,
deve,should,
chamar,call,
mundo,world,
sobre,over,
escola,school,
ainda,still,
tentar,try,
durar,last,
perguntar,ask,
também,too,
sentir,feel,
três,three,
estado,state,
nunca,never,
tornar-se,become,
entre,between,
alto,high,
realmente,really,
algo,something,
maioria,most,
outro,another,
muito,much,
família,family,
ter,own,
deixar,leave,
colocar,put,
velho,old,
enquanto,while,
significar,mean,
manter,keep,
estudante,student,
por que,why,
deixar,let,
ótimo,great,
mesmo,same,
grande,big,
grupo,group,
começar,begin,
parecer,seem,
país,country,
ajuda,help,
falar,talk,
onde,where,
vez,turn,
problema,problem,
todo,every,
começar,start,
mão,hand,
poder,might,
americano,American,
mostrar,show,
papel,part,
contra,against,
lugar,place,
tal,such,
de novo,again,
alguns,few,
caso,case,
semana,week,
empresa,company,
sistema,system,
cada,each,
certo,right,
programa,program,
ouvir,hear,
pergunta,question,
durante,during,
jogar,play,
governo,government,
correr,run,
pequeno,small,
número,number,
desligado,off,
sempre,always,
mover,move,
noite,night,
ao vivo,live,
Senhor,Mr,
apontar,point,
acreditar,believe,
segurar,hold,
hoje,today,
trazer,bring,
acontecer,happen,
próximo,next,
sem,without,
antes,before,
grande,large,
milhão,million,
deve,must,
lar,home,
sob,under,
água,water,
sala,room,
escrever,write,
mãe,mother,
área,area,
nacional,national,
dinheiro,money,
história,story,
jovem,young,
facto,fact,
mês,month,
diferente,different,
muito,lot,
estudar,study,
livro,book,
olho,eye,
trabalho,job,
palavra,word,
no entanto,though,
negócios,business,
emitir,issue,
lado,side,
tipo,kind,
quatro,four,
cabeça,head,
distante,far,
preto,black,
longo,long,
ambos,both,
pequeno,little,
casa,house,
sim,yes,
desde,since,
fornecer,provide,
serviço,service,
em volta,around,
amigo,friend,
importante,important,
pai,father,
sentar,sit,
ausente,away,
até,until,
poder,power,
hora,hour,
jogo,game,
muitas vezes,often,
ainda,yet,
linha,line,
político,political,
fim,end,
entre,among,
sempre,ever,
ficar,stand,
ruim,bad,
perder,lose,
no entanto,however,
membro,member,
pagar,pay,
lei,law,
encontrar,meet,
carro,car,
cidade,city,
quase,almost,
incluir,include,
continuar,continue,
definir,set,
mais tarde,later,
comunidade,community,
nome,name,
cinco,five,
uma vez,once,
branco,white,
ao menos,least,
Presidente,president,
aprender,learn,
real,real,
mudar,change,
equipe,team,
minuto,minute,
melhor,best,
diversos,several,
ideia,idea,
criança,kid,
corpo,body,
Informação,information,
nada,nothing,
atrás,ago,
liderar,lead,
social,social,
entender,understand,
se,whether,
assistir,watch,
junto,together,
seguir,follow,
pai,parent,
parar,stop,
face,face,
qualquer coisa,anything,
criar,create,
público,public,
já,already,
falar,speak,
outros,others,
ler,read,
nível,level,
permitir,allow,
adicionar,add,
escritório,office,
gastar,spend,
porta,door,
saúde,health,
pessoa,person,
arte,art,
claro,sure,
guerra,war,
história,history,
festa,party,
dentro de,within,
crescer,grow,
resultado,result,
abrir,open,
manhã,morning,
andar,walk,
razão,reason,
baixo,low,
ganhar,win,
pesquisar,research,
garota,girl,
cara,guy,
cedo,early,
comida,food,
momento,moment,
ele mesmo,himself,
ar,air,
professor,teacher,
força,force,
oferecer,offer,
suficiente,enough,
Educação,education,
entre,across,
embora,although,
lembrar,remember,
pé,foot,
segundo,second,
garoto,boy,
talvez,maybe,
na direção,toward,
capaz,able,
idade,age,
política,policy,
tudo,everything,
amor,love,
processo,process,
música,music,
Incluindo,including,
considerar,consider,
aparecer,appear,
na verdade,actually,
comprar,buy,
provavelmente,probably,
humano,human,
espere,wait,
servir,serve,
mercado,market,
morrer,die,
enviar,send,
esperar,expect,
senso,sense,
construir,build,
ficar,stay,
cair,fall,
oh,oh,
nação,nation,
plano,plan,
corte,cut,
faculdade,college,
interesse,interest,
morte,death,
curso,course,
alguém,someone,
experiência,experience,
atrás,behind,
alcançar,reach,
local,local,
matar,kill,
seis,six,
permanecer,remain,
efeito,effect,
sim,yeah,
sugerir,suggest,
aula,class,
ao controle,control,
elevação,raise,
Cuidado,care,
talvez,perhaps,
tarde,late,
duro,hard,
campo,field,
outro,else,
passar,pass,
antigo,former,
vender,sell,
principal,major,
às vezes,sometimes,
exigir,require,
junto,along,
desenvolvimento,development,
eles mesmos,themselves,
relatório,report,
papel,role,
melhorar,better,
econômico,economic,
esforço,effort,
decidir,decide,
avaliar,rate,
forte,strong,
possível,possible,
coração,heart,
medicamento,drug,
líder,leader,
luz,light,
voz,voice,
esposa,wife,
todo,whole,
polícia,police,
mente,mind,
finalmente,finally,
puxar,pull,
retornar,return,
livre,free,
militares,military,
preço,price,
menos,less,
de acordo com,according,
decisão,decision,
explicar,explain,
filho,son,
ter esperança,hope,
desenvolver,develop,
visualizar,view,
relação,relationship,
carregar,carry,
cidade,town,
estrada,road,
dirigir,drive,
braço,arm,
verdadeiro,TRUE,
Federal,federal,
quebrar,break,
diferença,difference,
agradecer,thank,
